Name,Website,Email,Phone,Industries,Goods,"City, Country",Address,Description
Vodafone Czech Republic,www.vodafone.cz,,,Telecommunications,Prepaid and postpaid mobile phones,Praha,,
Vodafone Egypt,www.vodafone.com.eg,,,Telecommunications,Mobile phone services,"Cairo, Egypt",,
Voestalpine,www.voestalpine.com,,,Iron & Steel,,"Linz,Austria",,"Voestalpine AG engages in the production, processing, and distribution of steel products. It operates through the five segments: Steel, Special Steel, Metal Engineering, Metal Forming and Other. The Steel segment focuses on the production and processing of flat steel products for the automotive, white goods, and construction industries. The Special Steel segment manufactures long steel products, medium-wide strip steel, open-die forgings, and drop forgings. The Metal Engineering segment manufactures rails and turnout products, rod wire, drawn wire, prestressing steel, seamless tubes, welding filler materials, and semi-finished products. The Metal Forming segment provides special tubes and sections, special strip steel, and complex components for the automotive industry. The Other segment provides coordination services and assistance to the subsidiaries. The company was founded on May 13, 1938 and is headquartered in Linz, Austria."
Voith,www.voith.com,,,"Industrial machinery, Automotive industry,
Mechanical engineering",Power transmission and paper processing units(primarily involving gears and torque converters),"Heidenheim an der Brenz, Germany",,
Volksbank,www.vr.de,,,Banking,,Germany,,
Volkswagen,www.vw.com,,,Automotive,Automobile,"Wolfsburg, Germany",,
Volkswagen Group,www.volkswagenag.com,,,Auto & Truck Manufacturers,,"Wolfsburg, Germany",,"Volkswagen AG engages in the manufacture of automobiles. It operates through following segments: Passenger Cars, Commercial Vehicles, Power Engineering, and Financial Services. The Passenger Cars segment covers the development of vehicles and engines, the production and sale of passenger cars and light commercial vehicles, and the corresponding genuine parts business. The Commercial Vehicles segment comprises the development, production and sale of light commercial vehicles, trucks and buses, the corresponding genuine parts business and related services. The Power Engineering segment consists of the development and production of large-bore diesel engines, turbo compressors, industrial turbines and chemical reactor systems, as well as the production of gear units, propulsion components and testing systems. The Financial Services segment engages in dealer and customer financing, leasing, banking and insurance activities, as well as fleet management. The company was founded in May 28, 1937 and is headquartered in Wolfsburg, Germany."
Volvo Car Gent,www.volvocargent.be,,,manufacturer,automobile ,Belgium,,
Volvo Group,www.volvogroup.com,,,Heavy Equipment,,"Göteborg,Sweden",,"Volvo AB designs, manufactures and markets commercial vehicles. It operates through the following business areas: Construction Equipment, Buses, Volvo Penta, Governmental Sales, and Volvo Financial Services. The Constructional Equipemnt business area manufactures a number of different types of equipment for construction applications and related industries. The Buses business segment provides city and intercity buses, coaches and chassis. The Volvo Penta business area markets marine and industrial engines. The Governmental Sales business area covers sales to government agencies and organizations. The Volvo Financial Services business area delivers financial solution to Volvo Group customers. The company was founded by Assar-Thorvald Nathanael-Gabrielsson and Erik Gustaf Larson in 1915 and is headquartered in Göteborg, Sweden."
Vopak,www.vopak.com,,,Marine transportation,"Tank terminals for petrochemicals and fuels, LNG regasification terminals","Rotterdam, Netherlands",,
Vornado Realty,www.vno.com,,,Real Estate,,"New York, New York,United States",,"Vornado Realty Trust is a real estate investment trust and conducts its business through Vornado Realty L.P., a Delaware limited partnership. The company owns office, retail, merchandise mart properties and other real estate and related investments. Its office properties include various building office complexes and Bank of America Center in San Francisco. The trust's retail properties include shopping centers, regional malls single tenant retail assets. The trust's other real estate and related investments include marketable securities and mezzanine loans or real estate. It operates through the following business segments: New York Office Properties, Washington, DC Office Properties, Retail Properties, Toys and others. The company was founded in 1982 and is headquartered in New York, NY."
Voss Veksel- og Landmandsbank,www.vekselbanken.no,,,Banking,,"Voss, Norway",,
Votorantim Group,www.votorantim.com.br,,,Conglomerate,"Energy, siderurgy, steel, finance, pulp and paper, cement, agribusiness","São Paulo, Brazil",,
Voya Financial,www.voya.com,,,Investment Services,,"New York, New York,United States",,"Voya Financial, is a retirement, investment and insurance company serving the financial needs of individual and institutional customers. The company operates through folloeing segments: Retirement, Annuities, Investment Management and Individual Life. The Retirement provides an insurance and financial services industry organization, and industry-recognized publications such as Pensions & Investments, PlanSponsor Magazine and InvestmentNews.com.The Annuities segment tracks market segment leadership positions by assets under management. The Investment Management segment tracks market segment leadership positions by AUM. The Individual Life segment sources sources market segment leadership positions within the individual life insurance industry primarily from LIMRA market surveys. The Employee Benefits segment sources tracks market segment leadership positions by new premiums and in-force premiums. Voya Financial was founded on April 7, 1999 and is headquartered in New York, NY."
VP Bank AG,www.vpbank.com,,,Banking,,"Vaduz, Liechtenstein",,
VR Group,www.vrgroup.fi,,,Rail Transport,"Rail Transport, Rail Construction, Services","Helsinki, Finland",,
VRZ Karlovo,www.vrz-karlovo.com,,,railroad car," railway cars/wagons
railway equipment
rolling stock assemblies
spare parts production
railroad car - Sgnss'60, Zas/Zaes/Zacns, Eaos/Eanos","Karlovo, Bulgaria",,
Všeobecná úverová banka,www.vub.sk,,,"Banking, Financial services","Credit cards, consumer banking, corporate banking, investment banking,","Bratislava, Slovakia","Mlynske nivy 1
Bratislava 829 90",
VTB Bank,www.vtb.ru,,,Financial Services,,"St. Petersburg,Russian Federation",,"VTB Bank PJSC is a financial institution that engages in providing a range of banking products and services. It operates through the following segments: Corporate-Investment Banking; Loans and Deposits; Transaction Banking; Mid-Corporate Banking; Retail Banking and Insurance; Treasury, Corporate Center and Other Business; Construction and Development and Other Segments. The company was founded on October 17, 1990 and is headquartered in St. Petersburg, Russia."
Vulcabrasǀazaleia,www.vulcabrasazaleia.com.br,,,Manufacturing,"Footwear
Canvas
Retail
Textile","Jundiaí, Brazil",,
Vulcan Materials,www.vulcanmaterials.com,,,Construction materials,"Crushed stone, sand and gravel","Birmingham, Alabama",,
W&W-Wüstenrot,www.ww-ag.com,,,Investment Services,,"Stuttgart,Germany",,"Wüstenrot & Württembergische AG is an independent financial services group, which provides banking and insurance products and services. The company operates its business through the following segments: Loan Savings Bank, Personal Insurance; and Property and Casualty Insurance. It focuses on residential and commercial customers in its core market Germany. The company was founded in 1999 and is headquartered in Stuttgart, Germany"
W. R. Grace and Company,www.grace.com,,,Basic Materials,specialty chemicals,"Columbia, Maryland, United States",,
W. W. Norton & Company,www.wwnorton.com,,,,Books,"500 Fifth Avenue, New York City, New York",,
W.B. Mason,www.wbmason.com,,,Workplace Products,,"Brockton, Massachusetts, United States",,
WABCO Holdings,www.wabco-auto.com,,,Component manufacture and supply for commercial vehicles,"electronic braking systems
stability systems
suspension systems
transmission automation systems","Piscataway, NJ, United States",,"The leading global supplier of commercial vehicle technologies

WABCO is the No.1 global SUPPLIER of technologies and services that improve the safety, efficiency and connectivity of commercial vehicles.

From concepts to finished products and beyond, we have been developing innovative systems to make vehicles safer and easier to control since 1869. Today, with an unbeatable list of industry firsts behind us, WABCO continues to pioneer breakthrough innovations for advanced driver assistance, braking, stability control, suspension, transmission automation and aerodynamics for the world's commercial truck, bus, trailer, car and off-highway manufacturers. "
Wadia Group,www.wadiagroup.com,,,"textiles , aviation , chemicals , food processing , plantations , media & real estate",,"Mumbai, Maharashtra, India",,
Waitrose,www.waitrose.com,,,Supermarket,Food,"Bracknell, Berkshire, United Kingdom",,
Walgreens,www.walgreens.com,,,Retail,"Drug store
Pharmacy","200 Wilmot Road, Deerfield, Illinois, United States",,
Walgreens Boots Alliance,www.walgreensbootsalliance.com,,,Drug Retail,,"Deerfield, Illinois,United States",,"Walgreens Boots Alliance, provides drug store services. It operates through the following segments: Retail Pharmacy USA, Retail Pharmacy International and Pharmaceutical Wholesale. The Retail Pharmacy USA segment engages in pharmacy-led health and beauty retail businesses, which sells its products under brand names Walgreens and Duane Reade. The Retail Pharmacy International segment offers retail stores, which sells products of brands No7, Boots Pharmaceuticals, Botanics, Liz Earle and Soap & Glory.The Pharmaceutical Wholesale segment supplies medicines, other healthcare products and related services to pharmacies, doctors, health centers and hospitals. The company was founded in 2014 and is headquartered in Deerfield, IL."
Walkers Shortbread,www.walkersshortbread.comuk,,,Baked goods,"shortbread, biscuits, cookiesand crackers","Speyside, Aberlour on Spey, Scotland",,
Wall's,www.walls.co.uk,,,,Ice cream,United Kingdom,,
Walltopia,www.walltopia.com,,,Climbing Walls,"Climbing walls, climbing holds, Autobelays","Sofia, Bulgaria",,
Wal-Mart Stores,www.corporate.walmart.com,,888-746-7726,Discount Stores,Electronics movies and music home and furniture home improvement clothing footwear jewelry toys health and beauty pet supplies sporting goods and fitness auto photo finishing craft supplies party supplies grocery,"Bentonville, United States",,"Wal-Mart Stores, operates retail stores in various formats around the world. The company operates its business through three reportable segments: Walmart U.S., Walmart International and Sam's Club. The Walmart U.S. segment includes the company's mass merchant concept in the U.S., operating under the Walmart or Wal-Mart brand, as well as walmart.com. and also offers financial services and related products, including money orders, prepaid cards, wire transfers, check cashing and bill payment. The Walmart International segment includes numerous formats of retail stores, restaurants, wholesale clubs, including Sam's Clubs, and various retail websites that operate outside the U.S. This segment operates units in three major categories: retail, wholesale and other which consists of numerous formats, including discount stores, supermarkets, supercenters, hypermarkets, retail websites, warehouse clubs, restaurants and apparel stores. The Sam's Club segment includes the warehouse membership clubs in the U.S., as well as samsclub.com. and also offers brand name merchandise, which include hard goods, some soft goods and selected private-label items and brands in five merchandise categories namely grocery and consumables, fuel and other categories, technology, office and entertainment, home and apparel and health and wellness. Wal-Mart Stores was founded by Samuel Moore Walton and James Lawrence Walton on July 2, 1962 and is headquartered in Bentonville, AR."
Walter Aircraft Engines,www.walterengines.com,,,Aerospace,aircraft engines,"Prague, Czech Republic",,
Wanda Cinema Line,www.wanda-group.com,,,,,"Beijing, China",,"Wanda Cinema Line Co. engages in the distribution and screening of films. Its business activities include cinema investment, rental of commercial facilities, ticketing agent, and graphic design and advertising. The company was founded on January 20, 2005 and is headquartered in Beijing, China."
Wanda Group,www.wanda-group.com,,,Conglomerate,"Plazas, yachts, luxury hotels, commercial property, department stores, cinemas","Beijing, China",,
Want Want China,www.want-want.com,,,Food Processing,,"Shanghai,China",,"Want Want China Holdings operates as an investment holding company, which engages in the manufacture, distribution, and sales of food and beverages. It operates through the following segments: Rice Crackers, Dairy Products and Beverages, Snack Foods and Other Products. The Rice Crackers segment manufactures sugar coated crackers, savory crackers and fried crackers. The Dairy Products and Beverages segment including flavored milk, yogurt drinks, ready-to-drink coffee, carbonated drinks, herbal tea and milk powder. The Snack Foods segment manufactures and sells candies, popsicles and jellies, ball cakes, beans and nuts. The Other Products segment including, mainly wine and other food products. The company was founded on October 3, 2007 and is headquartered in Shanghai, China."
Warburg Pincus,www.warburgpincus.com,,,Private Equity,"Investments, private equity funds","New York City, New York, ","450 Lexington Avenue
New York City, New York, United States",
Warburtons,www.warburtons.co.uk,,,Baking,Bread and other bakery goods,"Bolton, Greater Manchester
England",,
Wargaming,www.wargaming.com,,," Entertainment
Video Games",Video Games & Services,"Nicosia, Cyprus",,
Warner Bros.,www.warnerbros.com,,,Entertainment,"Motion pictures, television programs, video games","Burbank,  United States",,
Warrens Bakery,www.warrensbakery.co.uk,,,,,,,
Wärtsilä,www.wartsila.com,,,Heavy Equipment,,"Helsinki,Finland",,"Wärtsilä Oyj Abp provides power solutions for the marine and energy markets. The company handles two business areas: Ship Power, Power Plants and Services. The Ship Power business operates through five segments: Merchant, Offshore, Cruise and Ferry, Special Vessels and Navy. The Power Plant business operates through the following product segments: Flexible Baseload, Grid Stability and Peaking, Industrial Self-Generation and the Oil & Gas Industry. The Flexible Baseload segment optimizes power plants for baseload operations. The Grid Stability and Peaking segment sets power plants for peaking and load following solutions. The Industrial Self-Generation segment also uses power plants for baseload operations and the Oil & Gas Industry segment handles oil and gas operations. It also offers exhaust gas cleaning systems; gas handling systems; and LPG systems and tank control systems, as well as process solutions, including specialized LNG projects. The company provides gears for marine uses; inerting gas solutions; oil separation systems; integrated products for service power generation and diesel-electric propulsion; and propulsor solutions comprising propellers, thrusters, and waterjets. It offers pumps and valves for liquid cargo handling; seals, bearings, and stern tubes; and waste, oil, and fresh water management solutions. The company provides basic support services, such as original equipment manufacturer spare parts, tools, consumables, field services, workshop and reconditioning services, and technical services; and installation, commissioning, performance optimization, upgrades, conversions, and environmental solutions. The company offers its products and services to companies operating in merchant, offshore, cruise and ferry, navy, and special vessel segments. It serves utilities, independent power producers, and industrial customers. Wärtsilä was founded on April 12, 1834 and is headquartered in Helsinki, Finland."
Washington H. Soul Pattinson,www.whsp.com.au,,,Diversified,,"Sydney, Australia",,
Waste Management,www.wm.com,,,Environmental & Waste,,"Houston, Texas,United States",,"Waste Management, provides waste management environmental services. The company, through its subsidiaries, provides collection, transfer, recycling and resource recovery, and disposal services. It is also a developer, operator and owner of waste-to-energy and landfill gas-to-energy facilities in the United States. It operates through three segments: Tier 1. Tier 2 and Tier 3. The Tier 1 segment comprises exclusively of areas in the Southern United States. The Tier 2 segment comprises predominately of areas located in the Midwest and Northeast United States. The Tier 3 segment comprises all remaining areas, including the Northwest and Mid-Atlantic regions of the United States and Eastern Canada. The company was founded on September 30, 1987 and is headquartered in Houston, TX."
Waters Corporation,www.waters.com,,,Life Sciences,,"Milford, Massachusetts",,
Weatherford International,www.weatherford.com,,,Oil Services & Equipment,,"Geneva,Switzerland",,"Weatherford International Plc provides equipment and services to the oil and natural gas exploration and production industry. It operates its business through following segments: Formation Evaluation & Well Construction and Completion & Production. The Formation Evaluation & Well Construction segment offers services such as controlled-pressure drilling and testing, drilling, tubular running, drilling tools, integrated drilling, wireline services, re-entry and fishing, cementing, liner systems, integrated laboratory services and surface logging. The Completion & Production segment pertains for service lines, including artificial lift systems, stimulation and chemicals, completion systems and pipeline and specialty services. The company was founded in 1941 and is headquartered in Geneva, Switzerland."
Webster Bank,www.websterbank.com,,,Finance,Banking,"Connecticut, United States","1935 Waterbury, Connecticut, United States",
WEC Energy Group,www.wecenergygroup.com,,,Electric Utilities,,"Milwaukee, Wisconsin,United States",,"WEC Energy Group, engages in the distribution of electric and natural gas. It operates under the following operating segments: Utility Energy and Non-Utility Energy. The Utility Energy segment operates under the subsidiary Wisconsin Electric, which provides electricity and natural gas. The Non-Utility segment handles We Power, which designs, constructs, owns and leases to Wisconsin Electric. The company was founded on June 29,2015 and is headquartered in Milwaukee, WI."
Wegmans,www.wegmans.com,,,Grocery,,"Rochester, New York, United States",,
Weichai Power,www.weichai.com,,,Heavy Equipment,,"Weifang,China",,"Weichai Power Co. engages in the manufacture of transportation equipment. Its business scope includes the design, development, production, sale, repair, and import and export of diesel engines and auxiliary products. Its products include automobile, automobile axle and components, gear boxes and components and other automobile components, hydraulic pumps, hydraulic motors, hydraulic valves, gears and gear transmission devices, ancillary casting and casting products of hydraulic components. Its business activities include the leasing of self-owned houses; sale of steel; provision of business management, forklift trucks and warehouses technology services. The company was founded on December 23, 2002 and is headquartered in Weifang, China."
Weir Group,www.global.weir,,,Engineering,,"Glasgow, Scotland, United Kingdom",,
Wella,www.wella.com,,,Consumer goods,Hair care,"Geneva, Switzerland",,
Wells Fargo,www.wellsfargo.com,,1-800-869-3557,"Banking, Financial services","Asset management, brokerage services, commercial banking, commodities, consumer banking, corporate banking, credit cards, consumer finance, equities trading, finance and insurance, foreign currency exchange, foreign exchange trading, futures and options trading, insurance, investment banking, investment management, money market trading, mortgage loans, prime brokerage, private banking, retail banking, retail brokerage, risk management, treasury and security services, underwriting, wealth management","San Francisco,  United States",,"We’ve become one of the nation’s largest financial institutions, serving one in three U.S. households and employing approximately one in 600 working Americans. We have team members in 36 countries, serving 70 million customers in more than 130 countries around the world. Forbes magazine ranks us among the top 10 publicly traded companies in the world based on a composite of sales, assets, profits, and market value. And we are consistently ranked as one of the world’s most respected banks by Barron’s magazine and one of the world’s most admired companies by Fortune magazine. The reason for this is simple. We’ve never lost sight of putting our customers first and helping them succeed financially.

Regardless of our growing size, scope, and reach, our common vision and distinct values form the fabric that holds us together wherever we are, whatever we do. As members of the same team, it doesn’t matter what our respective responsibilities are, our levels or titles, what businesses we’re part of, or where we live and work."
Welltec,www.welltec.com,,,Oilfield Services,,"Allerød, Denmark",,
Welltower,www.welltower.com,,,Real Estate,,United States,,"Welltower, is a real estate investment trust. It invests across the full spectrum of senior housing and health care real estate, including senior housing communities, skilled nursing facilities, medical office buildings, inpatient and outpatient medical centers and life science facilities. The company operates through three segments: Seniors Housing Triple-Net, Seniors Housing Operating and Medical Facilities. The Seniors Housing Triple-Net segment includes skilled nursing/post-acute facilities, assisted living facilities, independent living/continuing care retirement communities and combinations thereof. Under this segment the company invests in seniors housing and health care real estate through acquisition and financing of primarily single tenant properties. The Seniors Housing Operating segment includes assisted living facilities and independent living/continuing care retirement communities. It invests in seniors housing operating real estate primarily through acquisitions. The Medical Facilities segment includes medical office buildings, hospitals and life science buildings, which are typically structured similar to senior housing, care investments and leased to multiple tenants. The company was founded in 1970 and is headquartered in Toledo, OH."
Welspun Group,www.welspun.com,,,Conglomerate,"Steel, Energy, Oil, Gas, Infrastructure, Retailing, Home Textiles, Pipes","Welspun House, Lower ParelMumbai, Maharashtra, India",,
Wendel,www.wendelgroup.com,,,Investment Services,,"Paris,France",,"Wendel SA is engages in the acquisition and management of investment portfolios. The firm is involved in long-term investment in industrial, media, and services companies. It also acquires portfolios from companies that are engaged in energy, real estate, biotechnology, media, and advertising sectors. The company was founded in 1704 and is headquartered in Paris, France."
Wendy's,www.wendys.com,,,Restaurant,"Hamburgers
Chicken sandwich
Salads
French fries
Breakfast sandwich
Frozen dessert","1 Dave Thomas Boulevard, Dublin, Ohio, United States",,
Wernesgrüner,www.wernesgruener.de,,,,,,,
WesBanco,www.wesbanco.com,,,"Financial, Investments, and Insurance"," Retail Banking
Consumer Finance
Investment Banking","Wheeling, West Virginia","1 Bank Plaza,
Wheeling WV 26003",
Wesco Financial,www.wescofinancial.com,,,"Insurance, Furniture Rental, Steel",,"301 East Colorado Boulevard
Pasadena, California
United States",,
Wesfarmers,www.wesfarmers.com.au,,,Food Retail,,"Perth,Australia",,"Wesfarmers engages in the operation of supermarkets; department stores; home improvement and office supplies; coal production and export; chemicals, energy and fertilisers; industrial and safety products. It operates through following segments: Retail, Industrial and Other. The Retail segment engages in supermarket retailer, liquor retailer and retail of fuel and operation of convenience stores, apparel and general merchandise, automotive services, repairs, building material, and home and garden improvement products. The Industrial segment manufactures and markets chemicals, fertilizers, industrial gases and equipment. The Other segment engages in forest products, property, investment banking and private equity investment. The company was founded in 1914 and is headquartered in Perth, Australia."
West Japan Railway,www.westjr.co.jp,,,Railroads,,"Osaka,Japan",,"West Japan Railway Co. engages in the railway transportation business. It operates through the following segments: Transportation, Sales of Goods and Food Services, Real Estate, and Other Businesses. The Transportation segment provides railway, bus, and ferry services. The Distribution segment operates department stores, restaurants, retail, and wholesale shops. The Real Estate segment sells and leases properties, and manages shopping centers.The Other Businesses segment includes hotels, travel agencies, advertising, and construction. The company was founded on April 1, 1987 and is headquartered in Osaka, Japan."
Western Air,www.westernairbahamas.com,,,"Grand Bahama International Airport, Lynden Pindling International Airport",,San Andros Airport,,
Western Digital,www.wdc.com,,,Computer Storage Devices,,"Irvine, California,United States",,"Western Digital engages in the development, manufacture and provision of data storage solutions. Its product portfolio includes hard disk drives, solid-state drives marketed under the HGST, WD and G-Technology brands. It also offers mobile drives for the notebook, PC, gaming markets, serial attached small computer system interface drives, peripheral component interconnect express SSDs, home video recorders, home network storage devices, portable, desktop and personal cloud storage. The company was founded in 1970 and is headquartered in Irvine, CA."
Western Gulf Advisory,www.westerngulfadvisory.com,,,,,,,
Western Refining,www.wnr.com,,,Oil & Gas Operations,,"El Paso, Texas,United States",,"Western Refining, engages in the business of refining and marketing crude oil and refined products. The company operates through four segments: Refining Group, Retail Group, WNRL and NTI. The Refining Group segment operates two refineries owned by Western that process crude oil and other feedstocks primarily into gasoline, diesel fuel, jet fuel and asphalt. It markets refined products to a diverse customer base including wholesale distributors and retail chains. The Retail Group segment operates retail convenience stores that sell gasoline, diesel fuel and convenience store merchandise. The WNRL segment owns and operates terminal, storage and transportation assets and provides related services primarily to its refining group in the Southwest. The NTI segment owns and operates refining and transportation assets and operates retail convenience store assets and supports franchised retail convenience stores primarily in the Upper Great Plains region of the U.S. Western Refining was founded by Paul L. Foster in September 2005 and is headquartered in El Paso, TX."
Western Securities,www.westernsecurities.ca,,,Investment Services,,"Xi'an, China",,"Western Securities Co., engages in the proprietary trading, client asset management, and securities research and development. Its business includes securities brokerage, investment banking, proprietary, asset management, and securities research. Its business scope include securities brokerage, investment consultation, security trading, investment related financial advisory, securities underwriting and sponsorship, proprietary trading, asset management, distribution of securities investment fund products, introducing broker services for futures companies, and securities margin trading. The company was founded on January 9, 2001 and is headquartered in Xi'an, China."
Western Union,www.westernunion.com,,,Business & Personal Services,,"Englewood, Colorado,United States",,"The Western Union Co. provides global money movement and payment services, providing people and businesses with fast, reliable and convenient ways to send money and make payments around the world. The company operates through three segments: Consumer-to-Consumer, Consumer-to-Business and Business Solutions. The Consumer-to-Consumer segment provides money transfer services between consumers, primarily through a global network of third-party agents using it multi-currency, real-time money transfer processing systems. This service is available for international cross-border transfers that is, the transfer of funds from one country to another and, in certain countries; intra-country transfers that is, money transfers from one location to another in the same country. The Consumer-to- Business segment provides consumers with flexible and convenient options for making one-time or recurring payments. It consists of U.S. bill payments, Pago Fácil, and international bill payments. The Business Solutions segment facilitates payment and foreign exchange solutions, primarily cross-border, cross-currency transactions, for small and medium size enterprises and other organizations and individuals. The Western Union was founded in 1851 and is headquartered in Englewood, CO."
Westfield,www.westfieldcorp.com,,,,,"Sydney,Australia",,"Westfield provides property management and development solutions. It operates shopping centres offering a variety of foods, fashion, leisure activities, and entertainment. Westfield was founded on November 28, 2013 and is headquartered in Sydney, Australia."
Westinghouse Air Brake Technologies,www.wabtec.com,,412-825-1000,,,"Wilmerding, Pennsylvania,United States",,"Westinghouse Air Brake Technologies engages in the provision of value added technology based equipment and services for the global rail industry. It operates through Freight and Transit segment. The Freight Segment involves in manufacturing components for new and existing locomotive and freight cars, supplies railway electronics, train control equipment, signal design and engineering services, builds switcher locomotives, rebuilds freight locomotives, and provides heat exchangers and cooling systems for rail and industrial markets. The Transit Segment offers manufacturing components for new and existing passenger transit vehicles. The company was founded in November 1999 and is headquartered in Wilmerding, PA"
Westlake Chemical,www.westlake.com,,,Diversified Chemicals,,"Houston, Texas,United States",,"Westlake Chemical manufactures and markets petrochemicals, polymers and fabricated building products. It operates its business through two segments: Olefins and Vinyls. The Olefins segment manufactures and markets ethylene, polyethylene, styrene and associated co-products. The Vinyls segment manufactures intermediate chemical products, including pipe, appliance parts, residential siding, packaging and a host of other products.The principal product is polyvinyl chloride resin, which is supplied to downstream subsidiaries to manufacture and market end-user industrial and consumer products. Its customers include chemical processors, plastics fabricators, construction contractors, municipalities and supply warehouses. The company's products are used by diverse consumer and industrial markets, including flexible and rigid packaging, automotive products, coatings, residential and commercial construction as well as other durable and non-durable goods. Westlake Chemical was founded by Ting Tsung Chao and Yuan Chao in 1986 and is headquartered in Houston, TX."
Westpac Banking Group,www.westpac.com.au,,,Major Banks,,"Sydney,Australia",,"Westpac Banking provides a broad range of banking and financial services, which includes retail, business and institutional banking and wealth management services. The company operates its business through the following segments: Australian Financial Services, Westpac Institutional Bank and Westpac New Zealand. The Australian Financial Services segment is responsible for the company's Australian retail banking, business banking and wealth operations. It incorporates the operations of: Westpac Retail & Business Banking, which is responsible for sales and service for consumer, small-to-medium enterprise customers and commercial and agribusiness customers in Australia under the Westpac brand; St.George Banking Group, which is responsible for sales and service for consumer, business and corporate customers in Australia under the St.George, BankSA, Bank of Melbourne and RAMS2 brands; BT Financial Group (Australia), which is Westpac's Australian wealth division. Its operations include funds management and insurance solutions. BT Financial Group's brands include Advance Asset Management, Ascalon, Asgard, BT, BT Investment Management 3, Licensee Select, BT Select, Securitor, and the advice, private banking and insurance operations of Bank of Melbourne, BankSA, St.George and Westpac. The Westpac Institutional Bank segment provides a broad range of financial services to commercial, corporate, institutional and government customers with connections to Australia and New Zealand. The Westpac New Zealand segment is responsible for sales and service of banking, wealth and insurance products for consumers, business and institutional customers in New Zealand. Westpac Banking was founded on February 12, 1817 and is headquartered in Sydney, Australia."
WestRock,www.westrock.com,,,Containers & Packaging,,"Norcross, Georgia,United States",,"WestRock Co. engages in the provision of paper and packaging solutions in the filed of corrugated markets. Its activities include paper-making, and packaging designs. Its products include corrugated box, paperboard mills, folding carton, and other related products. The company was founded on March 6, 2015 and is headquartered in Richmond, VA."
Weyerhaeuser,www.weyerhaeuser.com,,,Real Estate,,"Federal Way, Washington,United States",,"Weyerhaeuser Co. engages in the manufacture, distribution, and sale of forest products. It operates through the following segments: Timberlands, Wood Products, and Cellulose Fibers. The Timberlands segment manages private commercial forestland worldwide. This segment is engaged in growing and harvesting trees for lumber, building, pulp, paper and other wood products. The Wood Products segment delivers lumber, structural panels, engineered wood products and complementary products for residential and commercial applications. This segment offers homebuilding solutions and exports its softwood lumber and engineered building materials to Asia and Europe. The Cellulose Fibers segment produces absorbent fluff, which is used in diapers; manufactures liquid packaging board and other pulp products, which are used in the production of liquid product containers; and generates energy from black liquor produced at the mills. The company was founded by Frederick Weyerhaeuser in January 1900 and is headquartered in Federal Way, WA."
WH Group,www.wh-group.com,,,Food Processing,,Hong Kong,,"WH Group engages in the production and sale of packaged meats, fresh pork and hog products. The company operates its business through three segments: Packaged Meat Products, Fresh Pork and Hog Production. The Packaged Meat Products segment engages in the packaged meat and packaged pork products in china. The Fresh Pork segment engages in the hog slaughtering operations and sale of fresh pork products. The Hog Production segment engages in the production and supply of fresh pork and packaged meat products. The company also engages in the manufacturing and sale of packaging materials, provision of logistics services, operating a chain of retail grocery stores, producing flavoring ingredients and natural casings and sales of biological pharmaceuticals materials. The company was founded on March 2, 2006 and is headquartered in Hong Kong."
Wheelock,www.wheelockcompany.com,,,Real Estate,,"Hong Kong, China",,"Wheelock & Co. is an investment holding company, which engages in property investment and development. It operates through the following segments: Investment Property, Development Property, Hotels, Logistics, and Communications, Media and Entertainment (CME). The Investment property segment provides property leasing operations. The Development Property segment engages in the acquisition, development, design, construction, sale and marketing properties. The Hotels Segment includes hotel operations in the Asia Pacific region. The Logistics Segment includes the container terminal operations in Hong Kong and Mainland China undertaken by Modern Terminals Limited, Hong Kong Air Cargo Terminals Limited and other public transport operations. The CME segment comprises pay television, internet and multimedia and other businesses operated by i-CABLE Communications Limited. Its activities include rental and sale of properties, communications, media and entertainment business, logistic operations and hotel operations. The company was founded in 1857 and is headquartered in Hong Kong."
Whirlpool,www.whirlpoolcorp.com,,,Household Appliances,,"Benton Harbor, Michigan,United States",,"Whirlpool manufactures and markets home appliances. Its principal products include home laundry appliances, home refrigerators and freezers, home cooking appliances, home dishwashers, and room air-conditioning equipment, mixers, and other portable household appliances. The company markets its products under the brand names such as Whirlpool, Brastemp, Indesit, Maytag, KitchenAid, Jenn-Air, Amana, Bauknecht, Brastemp and Consul. The company was founded by Emory Upton, Fred Upton, and Louis C. Upton and was founded in 1955 and is headquartered in Benton Harbor, MI."
Whitbread,www.whitbread.co.uk,,,Restaurants,,"Dunstable,United Kingdom",,"Whitbread Plc operates a chain of hotels, restaurants and coffee shops. The company is organized into two strategic business units: Hotels & Restaurants and Costa. The Hotels & Restaurants unit provides services in relation to accommodation and food. The Costa unit is engaged in the operations of its branded, owned and franchised coffee shops. Its brands include Premier Inn, Beefeater, Table Table, Brewers Fayre, Taybarns and Costa Coffee. Whitbread was founded by Samuel Whitbread in 1742 and is headquartered in Dunstable, the United Kingdom."
Whitechapel Bell Foundry,www.whitechapelbellfoundry.co.uk,,,,,,,
Whole Foods Market,www.wholefoodsmarket.com,,," Grocery store
Health food store",,"Austin, Texas",,
WHSmith,www.whsmithplc.co.uk,,,Retail,,"Swindon, United Kingdom",,
Whyte and Mackay,www.whyteandmackay.co.uk,,,,"Scotch Whiskies , Liqueurs, and Vodkas","Glasgow, Scotland",,
WIBISCO,web.archive.org/web/20070927190018/http:/www.nationnews.com/story/302395202430937.php,,,,,,,
